0.000,0.000,1.500,-1,0.000,75.000,0,1.571
0.020,0.047,1.499,-1,2.356,-0.037,0,-0.016
0.040,0.094,1.497,-1,2.353,-0.111,0,-0.047
0.060,0.141,1.493,-1,2.349,-0.185,0,-0.079
0.080,0.188,1.488,-1,2.342,-0.259,0,-0.110
0.100,0.235,1.482,-1,2.333,-0.332,0,-0.141
0.120,0.281,1.473,-1,2.321,-0.405,0,-0.173
0.140,0.327,1.464,-1,2.307,-0.478,0,-0.204
0.160,0.373,1.453,-1,2.291,-0.550,0,-0.236
0.180,0.418,1.440,-1,2.273,-0.622,0,-0.267
0.200,0.464,1.427,-1,2.252,-0.693,0,-0.298
0.220,0.508,1.411,-1,2.229,-0.763,0,-0.330
0.240,0.552,1.395,-1,2.204,-0.833,0,-0.361
0.260,0.596,1.377,-1,2.177,-0.902,0,-0.393
0.280,0.639,1.357,-1,2.147,-0.970,0,-0.424
0.300,0.681,1.337,-1,2.116,-1.037,0,-0.456
0.320,0.723,1.314,-1,2.082,-1.102,0,-0.487
0.340,0.764,1.291,-1,2.047,-1.167,0,-0.518
0.360,0.804,1.266,-1,2.009,-1.231,0,-0.550
0.380,0.843,1.241,-1,1.969,-1.294,0,-0.581
0.400,0.882,1.214,-1,1.928,-1.355,0,-0.613
0.420,0.919,1.185,-1,1.884,-1.415,0,-0.644
0.440,0.956,1.156,-1,1.839,-1.473,0,-0.675
0.460,0.992,1.125,-1,1.792,-1.530,0,-0.707
0.480,1.027,1.093,-1,1.743,-1.586,0,-0.738
0.500,1.061,1.061,-1,1.692,-1.640,0,-0.770
0.520,1.093,1.027,-1,1.640,-1.692,0,-0.801
0.540,1.125,0.992,-1,1.586,-1.743,0,-0.833
0.560,1.156,0.956,-1,1.530,-1.792,0,-0.864
0.580,1.185,0.919,-1,1.473,-1.839,0,-0.895
0.600,1.214,0.882,-1,1.415,-1.884,0,-0.927
0.620,1.241,0.843,-1,1.355,-1.928,0,-0.958
0.640,1.266,0.804,-1,1.294,-1.969,0,-0.990
0.660,1.291,0.764,-1,1.231,-2.009,0,-1.021
0.680,1.314,0.723,-1,1.167,-2.047,0,-1.052
0.700,1.337,0.681,-1,1.102,-2.082,0,-1.084
0.720,1.357,0.639,-1,1.037,-2.116,0,-1.115
0.740,1.377,0.596,-1,0.970,-2.147,0,-1.147
0.760,1.395,0.552,-1,0.902,-2.177,0,-1.178
0.780,1.411,0.508,-1,0.833,-2.204,0,-1.210
0.800,1.427,0.464,-1,0.763,-2.229,0,-1.241
0.820,1.440,0.418,-1,0.693,-2.252,0,-1.272
