0.000,0.000,1.500,-1.000
0.020,0.038,1.500,-1.010
0.040,0.075,1.498,-1.020
0.060,0.113,1.496,-1.030
0.080,0.151,1.492,-1.040
0.100,0.188,1.488,-1.050
0.120,0.225,1.483,-1.060
0.140,0.263,1.477,-1.070
0.160,0.300,1.470,-1.080
0.180,0.336,1.462,-1.090
0.200,0.373,1.453,-1.100
0.220,0.409,1.443,-1.110
0.240,0.446,1.432,-1.120
0.260,0.481,1.421,-1.130
0.280,0.517,1.408,-1.140
0.300,0.552,1.395,-1.150
0.320,0.587,1.380,-1.160
0.340,0.622,1.365,-1.170
0.360,0.656,1.349,-1.180
0.380,0.689,1.332,-1.190
0.400,0.723,1.314,-1.200
0.420,0.755,1.296,-1.210
0.440,0.788,1.276,-1.220
0.460,0.820,1.256,-1.230
0.480,0.851,1.235,-1.240
0.500,0.882,1.214,-1.250
0.520,0.912,1.191,-1.260
0.540,0.942,1.168,-1.270
0.560,0.971,1.144,-1.280
0.580,0.999,1.119,-1.290
0.600,1.027,1.093,-1.300
0.620,1.054,1.067,-1.310
0.640,1.080,1.040,-1.320
0.660,1.106,1.013,-1.330
0.680,1.131,0.985,-1.340
0.700,1.156,0.956,-1.350
0.720,1.179,0.927,-1.360
0.740,1.202,0.897,-1.370
0.760,1.225,0.866,-1.380
0.780,1.246,0.835,-1.390
0.800,1.266,0.804,-1.400
0.820,1.286,0.772,-1.410
0.840,1.305,0.739,-1.420
0.860,1.323,0.706,-1.430
0.880,1.341,0.673,-1.440
0.900,1.357,0.639,-1.450
0.920,1.373,0.604,-1.460
0.940,1.388,0.570,-1.470
0.960,1.401,0.535,-1.480
0.980,1.414,0.499,-1.490
1.000,1.427,0.464,-1.500
1.020,1.438,0.428,-1.510
1.040,1.448,0.391,-1.520
1.060,1.457,0.355,-1.530
1.080,1.466,0.318,-1.540
1.100,1.473,0.281,-1.550
1.120,1.480,0.244,-1.560
1.140,1.486,0.207,-1.570
1.160,1.490,0.169,-1.580
1.180,1.494,0.132,-1.590
1.200,1.497,0.094,-1.600
1.220,1.499,0.057,-1.610
1.240,1.500,0.019,-1.620
1.260,1.500,-0.019,-1.630
1.280,1.499,-0.057,-1.640
1.300,1.497,-0.094,-1.650
1.320,1.494,-0.132,-1.660
1.340,1.490,-0.169,-1.670
1.360,1.486,-0.207,-1.680
1.380,1.480,-0.244,-1.690
1.400,1.473,-0.281,-1.700
1.420,1.466,-0.318,-1.710
1.440,1.457,-0.355,-1.720
1.460,1.448,-0.391,-1.730
1.480,1.438,-0.428,-1.740
1.500,1.427,-0.464,-1.750
1.520,1.414,-0.499,-1.760
1.540,1.401,-0.535,-1.770
1.560,1.388,-0.570,-1.780
1.580,1.373,-0.604,-1.790
1.600,1.357,-0.639,-1.800
1.620,1.341,-0.673,-1.810
1.640,1.323,-0.706,-1.820
1.660,1.305,-0.739,-1.830
1.680,1.286,-0.772,-1.840
1.700,1.266,-0.804,-1.850
1.720,1.246,-0.835,-1.860
1.740,1.225,-0.866,-1.870
1.760,1.202,-0.897,-1.880
1.780,1.179,-0.927,-1.890
1.800,1.156,-0.956,-1.900
1.820,1.131,-0.985,-1.910
1.840,1.106,-1.013,-1.920
1.860,1.080,-1.040,-1.930
1.880,1.054,-1.067,-1.940
1.900,1.027,-1.093,-1.950
1.920,0.999,-1.119,-1.960
1.940,0.971,-1.144,-1.970
1.960,0.942,-1.168,-1.980
1.980,0.912,-1.191,-1.990
2.000,0.882,-1.214,-2.000
2.020,0.851,-1.235,-2.010
2.040,0.820,-1.256,-2.020
2.060,0.788,-1.276,-2.030
2.080,0.755,-1.296,-2.040
2.100,0.723,-1.314,-2.050
2.120,0.689,-1.332,-2.060
2.140,0.656,-1.349,-2.070
2.160,0.622,-1.365,-2.080
2.180,0.587,-1.380,-2.090
2.200,0.552,-1.395,-2.100
2.220,0.517,-1.408,-2.110
2.240,0.481,-1.421,-2.120
2.260,0.446,-1.432,-2.130
2.280,0.409,-1.443,-2.140
2.300,0.373,-1.453,-2.150
2.320,0.336,-1.462,-2.160
2.340,0.300,-1.470,-2.170
2.360,0.263,-1.477,-2.180
2.380,0.225,-1.483,-2.190
2.400,0.188,-1.488,-2.200
2.420,0.151,-1.492,-2.210
2.440,0.113,-1.496,-2.220
2.460,0.075,-1.498,-2.230
2.480,0.038,-1.500,-2.240
2.500,-0.000,-1.500,-2.250
2.520,-0.038,-1.500,-2.260
2.540,-0.075,-1.498,-2.270
2.560,-0.113,-1.496,-2.280
2.580,-0.151,-1.492,-2.290
2.600,-0.188,-1.488,-2.300
2.620,-0.225,-1.483,-2.310
2.640,-0.263,-1.477,-2.320
2.660,-0.300,-1.470,-2.330
2.680,-0.336,-1.462,-2.340
2.700,-0.373,-1.453,-2.350
2.720,-0.409,-1.443,-2.360
2.740,-0.446,-1.432,-2.370
2.760,-0.481,-1.421,-2.380
2.780,-0.517,-1.408,-2.390
2.800,-0.552,-1.395,-2.400
2.820,-0.587,-1.380,-2.410
2.840,-0.622,-1.365,-2.420
2.860,-0.656,-1.349,-2.430
2.880,-0.689,-1.332,-2.440
2.900,-0.723,-1.314,-2.450
2.920,-0.755,-1.296,-2.460
2.940,-0.788,-1.276,-2.470
2.960,-0.820,-1.256,-2.480
2.980,-0.851,-1.235,-2.490
3.000,-0.882,-1.214,-2.500
3.020,-0.912,-1.191,-2.510
3.040,-0.942,-1.168,-2.520
3.060,-0.971,-1.144,-2.530
3.080,-0.999,-1.119,-2.540
3.100,-1.027,-1.093,-2.550
3.120,-1.054,-1.067,-2.560
3.140,-1.080,-1.040,-2.570
3.160,-1.106,-1.013,-2.580
3.180,-1.131,-0.985,-2.590
3.200,-1.156,-0.956,-2.600
3.220,-1.179,-0.927,-2.610
3.240,-1.202,-0.897,-2.620
3.260,-1.225,-0.866,-2.630
3.280,-1.246,-0.835,-2.640
3.300,-1.266,-0.804,-2.650
3.320,-1.286,-0.772,-2.660
3.340,-1.305,-0.739,-2.670
3.360,-1.323,-0.706,-2.680
3.380,-1.341,-0.673,-2.690
3.400,-1.357,-0.639,-2.700
3.420,-1.373,-0.604,-2.710
3.440,-1.388,-0.570,-2.720
3.460,-1.401,-0.535,-2.730
3.480,-1.414,-0.499,-2.740
3.500,-1.427,-0.464,-2.750
3.520,-1.438,-0.428,-2.760
3.540,-1.448,-0.391,-2.770
3.560,-1.457,-0.355,-2.780
3.580,-1.466,-0.318,-2.790
3.600,-1.473,-0.281,-2.800
3.620,-1.480,-0.244,-2.810
3.640,-1.486,-0.207,-2.820
3.660,-1.490,-0.169,-2.830
3.680,-1.494,-0.132,-2.840
3.700,-1.497,-0.094,-2.850
3.720,-1.499,-0.057,-2.860
3.740,-1.500,-0.019,-2.870
3.760,-1.500,0.019,-2.880
3.780,-1.499,0.057,-2.890
3.800,-1.497,0.094,-2.900
3.820,-1.494,0.132,-2.910
3.840,-1.490,0.169,-2.920
3.860,-1.486,0.207,-2.930
3.880,-1.480,0.244,-2.940
3.900,-1.473,0.281,-2.950
3.920,-1.466,0.318,-2.960
3.940,-1.457,0.355,-2.970
3.960,-1.448,0.391,-2.980
3.980,-1.438,0.428,-2.990
4.000,-1.427,0.464,-3.000
4.020,-1.414,0.499,-3.010
4.040,-1.401,0.535,-3.020
4.060,-1.388,0.570,-3.030
4.080,-1.373,0.604,-3.040
4.100,-1.357,0.639,-3.050
4.120,-1.341,0.673,-3.060
4.140,-1.323,0.706,-3.070
4.160,-1.305,0.739,-3.080
4.180,-1.286,0.772,-3.090
4.200,-1.266,0.804,-3.100
4.220,-1.246,0.835,-3.110
4.240,-1.225,0.866,-3.120
4.260,-1.202,0.897,-3.130
4.280,-1.179,0.927,-3.140
4.300,-1.156,0.956,-3.150
4.320,-1.131,0.985,-3.160
4.340,-1.106,1.013,-3.170
4.360,-1.080,1.040,-3.180
4.380,-1.054,1.067,-3.190
4.400,-1.027,1.093,-3.200
4.420,-0.999,1.119,-3.210
4.440,-0.971,1.144,-3.220
4.460,-0.942,1.168,-3.230
4.480,-0.912,1.191,-3.240
4.500,-0.882,1.214,-3.250
4.520,-0.851,1.235,-3.260
4.540,-0.820,1.256,-3.270
4.560,-0.788,1.276,-3.280
4.580,-0.755,1.296,-3.290
4.600,-0.723,1.314,-3.300
4.620,-0.689,1.332,-3.310
4.640,-0.656,1.349,-3.320
4.660,-0.622,1.365,-3.330
4.680,-0.587,1.380,-3.340
4.700,-0.552,1.395,-3.350
4.720,-0.517,1.408,-3.360
4.740,-0.481,1.421,-3.370
4.760,-0.446,1.432,-3.380
4.780,-0.409,1.443,-3.390
4.800,-0.373,1.453,-3.400
4.820,-0.336,1.462,-3.410
4.840,-0.300,1.470,-3.420
4.860,-0.263,1.477,-3.430
4.880,-0.225,1.483,-3.440
4.900,-0.188,1.488,-3.450
4.920,-0.151,1.492,-3.460
4.940,-0.113,1.496,-3.470
4.960,-0.075,1.498,-3.480
4.980,-0.038,1.500,-3.490
5.000,-0.000,1.500,-3.500
